Iteration,Total Time (seconds),Compilation Success
1,45.70798063,TRUE
2,43.6907718,TRUE
3,46.01119518,TRUE
4,44.38205504,TRUE
5,48.73301953,TRUE
6,48.95663309,TRUE
7,48.51946306,TRUE
8,49.53422594,FALSE
9,47.07419467,TRUE
10,44.14751148,TRUE
11,47.93912506,TRUE
12,44.2819772,TRUE
13,43.71072125,TRUE
14,44.45513606,TRUE
15,48.77165594,TRUE
16,45.04825807,TRUE
17,46.80633712,TRUE
18,45.2267704,TRUE
19,55.53263235,TRUE
20,49.14856648,TRUE
21,41.64495111,TRUE
22,44.10998869,TRUE
23,45.44219851,TRUE
24,68.52291584,TRUE
25,57.03066635,TRUE
26,54.51250672,TRUE
27,58.44311357,TRUE
28,75.60378528,TRUE
29,62.43998194,TRUE
30,56.36912704,TRUE
31,57.23514533,TRUE
32,58.94658399,TRUE
33,56.65863633,TRUE
34,57.32697606,TRUE
35,64.04268193,TRUE
36,76.26357007,TRUE
37,58.70178723,TRUE
38,59.5629313,TRUE
39,51.09514403,TRUE
40,55.9344213,TRUE
41,54.09921527,TRUE
42,54.09022546,TRUE
43,60.8228097,TRUE
44,50.90454173,TRUE
45,57.82794952,TRUE
46,51.74374342,TRUE
47,52.97692561,TRUE
48,54.14232731,TRUE
49,54.74780393,TRUE
50,49.74579167,TRUE
51,57.40906644,TRUE
52,50.84701109,TRUE
53,53.96772432,TRUE
54,56.63010073,TRUE
55,58.77289701,TRUE
56,53.78725791,TRUE
57,55.1685369,TRUE
58,53.54485798,TRUE
59,70.46050763,TRUE
60,55.90973163,TRUE
61,59.35033035,TRUE
62,59.42506647,TRUE
63,68.86382437,TRUE
64,56.79449272,TRUE
65,66.83007717,TRUE
66,56.05247331,TRUE
67,63.06495643,TRUE
68,55.10681248,TRUE
69,60.99752259,TRUE
70,57.84490204,TRUE
71,58.04584002,TRUE
72,59.90844154,TRUE
73,64.93289518,TRUE
74,53.47190237,TRUE
75,58.26887393,TRUE
76,56.8706665,TRUE
77,60.11652946,TRUE
78,55.61874104,TRUE
79,55.46449089,TRUE
80,55.77274585,TRUE
81,58.12127662,TRUE
82,61.2596724,TRUE
83,49.87480927,TRUE
84,56.97900105,TRUE
85,61.48958492,TRUE
86,58.64155054,TRUE
87,55.97576499,TRUE
88,54.74063587,TRUE
89,56.21640301,TRUE
90,55.89054728,TRUE
91,62.01342082,TRUE
92,66.35934472,TRUE
93,56.44657016,TRUE
94,54.59200406,TRUE
95,56.64435935,TRUE
96,59.44681859,TRUE
97,57.71648145,TRUE
98,63.01044607,TRUE
99,54.47458673,TRUE
100,62.57276678,TRUE
